#{"t_start": 1783608801.6203597, "env_id": "None"}
r,l,t
338.69595,631,24.023132
413.1382,668,25.395911
593.5667,802,29.0083
592.1133,805,29.733658
720.1936,933,33.238555
749.4655,961,34.473745
791.8489,970,35.289149
795.6359,982,36.132909
830.9702,1030,41.268758
923.069,1065,42.769829
1066.3018,1096,44.118911
1074.8229,1105,44.939588
947.7921,1123,46.023943
987.88904,1126,46.703871
961.7957,1157,48.071929
1342.9773,1274,51.670057
799.4304,947,63.068906
951.45667,1116,68.77586
792.39307,999,69.815982
1100.5474,1107,73.012594
792.85114,974,74.173478
721.66327,919,76.677217
1151.7971,1083,77.310684
597.5646,980,78.553252
1158.3271,1084,82.810445
1069.803,1102,84.106922
1202.8672,1114,86.134328
1271.0374,1135,88.980836
959.38226,1117,88.981
1218.9772,1116,89.656251
1208.0803,1200,93.008535
582.72253,795,94.088203
1308.5472,1206,97.498195
798.5103,953,107.881005
981.2391,1098,111.325967
720.5744,934,114.430764
723.41846,918,115.734066
1130.2007,1116,117.177159
1296.6069,1172,123.446885
792.42914,972,124.203156
1215.2773,1107,124.894637
635.68835,905,174.599271
724.18,915,175.374401
984.48517,1108,176.026852
1315.128,1149,176.631926
1305.5768,1161,181.945201
1063.331,1088,183.461147
823.6331,996,184.609826
1096.8788,1155,186.150628
729.56006,939,195.764236
1076.1843,1091,196.759729
724.7468,912,198.195842
648.84393,847,200.466879
562.8737,866,201.147361
828.68976,1006,202.366327
724.2485,910,204.086213
1254.7179,1116,209.552748
1222.687,1114,211.736487
1158.3276,1085,212.651422
1220.7676,1107,213.31455
1071.8463,1102,214.228374
1017.13196,1124,220.222733
1083.8296,1104,221.296594
1108.3378,1110,222.542411
1238.5374,1121,227.781978
697.9073,896,229.781053
548.4993,811,231.751662
595.33716,805,234.123631
1122.1276,1066,236.539659
578.6192,816,237.137215
588.4302,801,239.400175
1455.137,1218,240.291157
1208.7976,1113,241.366489
1184.2614,1152,247.526566
816.4193,1044,250.947279
1255.3876,1122,252.6429
1097.7898,1138,254.348945
794.1841,993,257.264385
770.3671,974,260.224731
1202.2372,1098,265.061802
974.7471,1115,266.908065
785.496,983,268.903322
756.7055,951,270.715735
1115.1016,1122,271.633851
708.4674,915,272.964123
726.3484,926,273.746098
707.3931,915,276.885199
814.22156,1020,279.246786
1284.6868,1155,285.841989
355.63257,583,286.464445
1221.9077,1104,327.275435
804.4967,1015,329.758278
787.8709,974,330.497351
665.2341,870,331.192889
1123.4829,1113,332.147073
795.5794,975,342.590774
722.1617,912,343.271304
1197.1975,1096,344.784334
1234.6974,1171,345.706171
1169.8771,1087,349.163216
947.93713,1106,349.920464
1321.1768,1165,350.576101
1132.1602,1123,353.77018
1250.7772,1118,359.153561
827.92993,1003,359.791839
566.2164,843,360.45017
800.60126,987,361.823676
824.81323,1005,364.976852
1110.2638,1223,366.357735
1082.9457,1105,368.097103
587.9662,810,369.77615
1326.9962,1192,371.22256
797.94763,974,377.646365
1039.3514,1086,381.736787
1287.0082,1128,382.766729
788.455,976,384.094862
820.4515,1012,384.955631
1114.7275,1058,386.623089
649.7791,849,387.431671
792.5343,970,394.402878
1209.7019,1178,396.455839
694.22784,881,397.236463
1172.2714,1135,398.425633
1228.6023,1161,399.647641
712.0373,994,400.39354
558.7151,805,401.473976
1146.9609,1128,406.375118
1095.5908,1172,412.81844
595.5416,802,414.240294
1268.6976,1133,416.876131
722.36487,912,419.437578
800.45184,947,420.959287
1205.8075,1100,422.082693
1200.423,1160,423.58427
1258.6475,1127,425.102449
787.9994,991,432.857752
1032.8966,1116,434.383617
787.82904,997,435.620651
1053.1183,1087,464.338064
1262.0869,1143,465.282158
1219.7174,1108,466.355051
817.24316,1013,476.983991
1108.93,1111,477.67585
1218.8541,1165,478.47391
621.3747,834,480.065844
786.3288,1001,482.896299
934.90576,1094,484.285522
1076.7214,1096,486.2737
1148.8274,1075,487.158645
724.8492,922,493.701903
796.63446,975,494.395686
725.06616,939,497.672353
1073.3868,1096,499.432806
1160.1473,1071,502.254762
1146.0377,1072,505.397154
-918.1054,2542,529.483322
793.8493,971,531.146746
1175.2573,1086,535.44214
1205.0256,1146,537.067818
961.9605,1078,537.770884
790.57227,971,539.728142
1118.0454,1118,540.767266
-1155.129,2545,542.237745
1125.4476,1063,543.429136
1410.686,1199,544.743318
794.7611,975,551.34903
719.31433,916,551.906096
1168.7946,1130,552.687244
1341.6166,1172,553.885353
739.86365,936,555.567646
1145.6636,1139,560.978719
695.98334,903,562.267499
606.7144,827,569.805526
789.1775,992,570.623137
796.2679,983,572.023174
692.97235,909,572.628403
1223.0349,1167,573.490569
789.8695,973,576.486555
1223.2964,1143,577.920407
797.83276,978,578.800804
560.9638,765,579.641938
724.1071,936,586.137502
1284.5331,1199,589.319046
793.4595,974,590.332197
1208.2472,1107,591.306869
1295.7865,1137,644.577519
801.2979,981,648.326064
797.3427,975,655.918713
1260.8718,1180,656.866944
796.75586,979,658.129675
828.45654,1017,659.763424
1172.0476,1082,660.342421
567.25574,860,660.974038
1110.0619,1105,662.778623
1071.1725,1102,665.876116
608.3729,789,667.090322
1108.4556,1112,667.090438
812.70557,996,668.23766
1104.5931,1116,668.825954
797.47437,975,674.469064
797.94995,1055,676.895171
1012.4376,1114,680.01908
1134.4569,1101,683.803133
825.13153,1010,689.868582
558.7056,783,692.315836
823.2973,1021,693.526867
965.7548,1118,694.15071
819.00116,1037,694.925433
1105.9436,1104,696.804132
1288.5817,1193,697.901039
1183.3169,1113,699.31651
790.29944,972,701.008484
1139.2965,1125,707.141631
1327.546,1159,708.431746
799.46606,977,710.225185
1411.2765,1219,711.400903
964.2002,1133,712.313007
830.7517,1011,714.969015
1254.0266,1149,724.549344
797.7357,975,726.848119
1273.4978,1120,726.848381
309.20108,623,727.545475
825.1049,1014,728.371144
784.33466,1033,729.328452
1117.9894,1113,730.682961
1170.1176,1078,732.908149
1205.6776,1105,734.467774
728.4499,920,735.962346
1091.0321,1119,736.819892
595.2833,826,741.24906
1230.0667,1116,742.160508
810.344,1004,744.758493
